,title,premium_level_id,is_premium,category
0,Portrait of two small dogs looking up,3,True,[]
1,Portrait of dog lying on floor.,3,True,[]
2,Two dogs look sideways on a snowy forest trail,4,True,"{'id': 596, 'name': 'Landscapes'}"
3,cute young dog,3,True,[]
4,Grey Weimaraner standing in water. - dogs,4,True,"{'id': 1, 'name': 'Animals'}"
5,Two dogs friends playing with each other at the country house during isolation,3,True,"{'id': 1, 'name': 'Animals'}"
6,Generative AI futuristic illustration of petfluencer character Maltese Poodle dog in VR goggles illuminated with pink light against neon blue background,3,True,"{'id': 1, 'name': 'Animals'}"
7,Family visits the vet with their dogs for a check up,3,True,"{'id': 695, 'name': 'People'}"
8,Rottweiler dogs playing with foot being bitten,3,True,"{'id': 1, 'name': 'Animals'}"
9,"Portrait of three beautiful dogs (Canis lupus familiaris) sitting on a grassy lawn, One Yellow Labrador Retriever sitting between two Golden Retrievers; Maui, Hawaii, United States of America",4,True,"{'id': 1, 'name': 'Animals'}"
10,Cute dog at Park,3,True,[]
11,Happy dog riding on fishing boat.,3,True,"{'id': 109, 'name': 'Other'}"
12,Three farm dogs see something happening in the sheep shed.,3,True,[]
13,"Three labradors sitting in woodland, side by side ",3,True,[]
14,Woman walking with her two dogs,3,True,"{'id': 620, 'name': 'Clouds'}"
15,"young woman playing with her dogs in apartment
",3,True,[]
16,Vizsla dogs standing in meadow,3,True,"{'id': 620, 'name': 'Clouds'}"
17,Walk a dog,3,True,"{'id': 922, 'name': 'Sports'}"
18,Purebred dogs sitting near each other,3,True,[]
19,"Man slicing vegetables, two dogs by his side ",4,True,[]
20,Pet dogs at home,3,True,"{'id': 543, 'name': 'Beds, Chairs and Furniture'}"
21,Yellow Labrador Retriever sitting in field,4,True,"{'id': 572, 'name': 'Fields'}"
22,Portrait of a labrador dog lying on the grass,3,True,"{'id': 572, 'name': 'Fields'}"
23,Happy dog sitting on a rock.,3,True,[]
24,Rear view of a person throwing stick for two dogs on the beach,3,True,"{'id': 1, 'name': 'Animals'}"
25,Woman feeding food to dogs,4,True,"{'id': 775, 'name': 'Women'}"
26,young attractive couple walking their dogs,3,True,"{'id': 695, 'name': 'People'}"
27,AI generates illustrations mechanical dog,3,True,"{'id': 444, 'name': 'Graphic Resources'}"
28,two dogs playing with dog toy,3,True,"{'id': 1, 'name': 'Animals'}"
29,Black dog licking his lips,4,True,[]
30,Three dogs under blanket showing noses,3,True,"{'id': 1, 'name': 'Animals'}"
31,High angle view of wet dogs shaking off water while standing at beach,3,True,"{'id': 633, 'name': 'Beaches'}"
32,Dalmatian,3,True,"{'id': 1, 'name': 'Animals'}"
33,Calm attentive brown Vizsla dog,3,True,[]
34,Couple with dogs,3,True,[]
35,"young woman playing with her dogs in apartment
",3,True,[]
36,Happy senior woman holding plate of food and stroking dog at home,4,True,"{'id': 643, 'name': 'Lifestyle'}"
37,Weimaraner dog standing indoors,3,True,"{'id': 1, 'name': 'Animals'}"
38,Two dogs friends fighting and bitting playing with each other,3,True,"{'id': 1, 'name': 'Animals'}"
39,wide angle of two dogs together.,4,True,"{'id': 596, 'name': 'Landscapes'}"
40,girl and dogs,3,True,[]
41,Dogs at Play: Connection,4,True,[]
42,Boxer breed dogs in an apartment,3,True,[]
43,Woman sitting with two dogs,3,True,"{'id': 1, 'name': 'Animals'}"
44,Rear view of a person throwing stick for two dogs on the beach,3,True,"{'id': 1, 'name': 'Animals'}"
45,an adult couple walks with dogs,3,True,[]
46,Generative AI image of playful dogs in a sunny meadow,3,True,"{'id': 1, 'name': 'Animals'}"
47,AI generates illustrations mechanical dog,3,True,"{'id': 444, 'name': 'Graphic Resources'}"
48,woman holding dog on her shoulder,3,True,"{'id': 1, 'name': 'Animals'}"
49,"Shetland sheepdog balances a dog bone on its muzzle; Lincoln, Nebraska, United States of America",4,True,"{'id': 1, 'name': 'Animals'}"
50,multiple dogs running in yard,3,True,[]
51,Portrait of dog relaxing on sofa at home,3,True,[]
52,Stylish couple sitting with dogs near a big tree,3,True,"{'id': 572, 'name': 'Fields'}"
53,Young woman using smartphone with her pet dogs,3,True,[]
54,costumed dogs waiting for Halloween treats,3,True,"{'id': 836, 'name': 'Halloween'}"
55,"young woman playing with her dogs in apartment
",3,True,[]
56,Young veterinarian wearing gloves and examining sick beagle dog in clinic,4,True,"{'id': 643, 'name': 'Lifestyle'}"
57,dog running mini aussie path,3,True,[]
58,Two dogs friends fighting and bitting playing with each other,3,True,"{'id': 1, 'name': 'Animals'}"
59,Girl smiling using laptop and drinking coffee with dog,3,True,"{'id': 543, 'name': 'Beds, Chairs and Furniture'}"
60,Energetic familiy photo with dogs,3,True,[]
61,cute hairy dog portrait,3,True,[]
62,gay couple with their dogs outdoors in nature,3,True,[]
63,Golden retriever dog swimming underwater in swimming pool,3,True,"{'id': 1, 'name': 'Animals'}"
64,West Highland White Terrier outdoors on grassy lawn,3,True,"{'id': 1, 'name': 'Animals'}"
65,an adult couple walks with dogs,3,True,[]
66,Dogs running on shore,3,True,"{'id': 47, 'name': 'Dogs'}"
67,Two dogs looking at the olive on plate,3,True,"{'id': 543, 'name': 'Beds, Chairs and Furniture'}"
68,Close up of dogs face,3,True,"{'id': 1, 'name': 'Animals'}"
69,"Two stray dogs sleeping on the ground; St. George's, Grenada, West Indies",4,True,"{'id': 1, 'name': 'Animals'}"
70,Red dog smiling,3,True,[]
71,Female friends with dogs sitting on bridge in city during sunny day,3,True,[]
72,Woman walking her dog,3,True,"{'id': 572, 'name': 'Fields'}"
73,Friends with dogs on nature with sunset.,3,True,[]
74,costumed dogs ask for treats for Halloween,3,True,"{'id': 836, 'name': 'Halloween'}"
75,Obedient alert Vizsla dog with healthy glossy brown hair and amazing yellow eyes looking away with interest against vivid orange background in studio,3,True,[]
76,Friends spending leisure time with dogs in back yard,4,True,"{'id': 643, 'name': 'Lifestyle'}"
77,Big brown dog and small spotted dog in apartment,3,True,[]
